sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
CRM,short,2026-01-16 09:35:00-05:00,2026-01-16 10:27:00-05:00,228.88,229.61582923076924,21,-15.452413846154059,4.1260068306433855,-19.578420676797442,53,3.5875557452995106,-1.0000000000000135,stop_loss
ABBV,long,2026-01-16 11:09:00-05:00,2026-01-16 11:10:00-05:00,216.16,215.53641692307693,22,-13.718827692307514,4.070257997513231,-17.789085689820745,2,4.957173188165217,-0.9999999999999872,stop_loss
HOOD,short,2026-01-16 09:50:00-05:00,2026-01-16 11:42:00-05:00,108.57,109.08014769230769,44,-22.44649846153868,4.111480260041846,-26.557978721580525,113,2.3373727974042455,-1.0000000000000093,stop_loss
SHOP,short,2026-01-16 09:39:00-05:00,2026-01-16 11:45:00-05:00,157.76,158.42413307692306,30,-19.923992307691947,4.067867163909231,-23.991859471601177,127,1.1205310544474782,-0.9999999999999821,stop_loss
UBER,long,2026-01-16 13:58:00-05:00,2026-01-16 14:09:00-05:00,84.64,84.39102692307692,56,-13.942492307692419,4.068034505790769,-18.01052681348319,12,1.4330087433618368,-1.0000000000000084,stop_loss
COST,short,2026-01-16 09:35:00-05:00,2026-01-16 15:09:00-05:00,955.93,957.7237923076923,5,-8.968961538461713,4.0949654617461535,-13.063927000207865,335,2.000097722814124,-1.0000000000000187,stop_loss
WMT,long,2026-01-16 15:50:00-05:00,2026-01-16 15:50:00-05:00,119.07,118.28,40,-31.59999999999968,4.0748131999999995,-35.67481319999968,1,2.28617654085193,-3.163474955566542,stop_loss
AMZN,short,2026-01-16 09:35:00-05:00,2026-01-16 15:54:00-05:00,238.58,239.1569076923077,20,-11.538153846153705,4.0941569822153845,-15.63231082836909,380,2.6796618774820002,-0.9999999999999875,stop_loss
SMCI,long,2026-01-16 09:39:00-05:00,2026-01-16 15:55:00-05:00,30.44,32.56,158,334.96000000000015,6.6491772000000005,328.31082280000015,377,1.1207156581923696,14.202598312797297,eod_win
AFRM,long,2026-01-16 09:36:00-05:00,2026-01-16 15:55:00-05:00,73.75,74.82,65,69.54999999999956,4.1528659900000005,65.39713400999956,380,0.6225329567881716,2.6930903162977295,eod_win
META,short,2026-01-16 15:50:00-05:00,2026-01-16 15:55:00-05:00,621.24,620.655,7,4.095000000000255,3.7213027670000005,0.37369723300025437,6,2.604216310490859,0.42438900260495477,eod_win
GOOG,short,2026-01-16 09:55:00-05:00,2026-01-16 15:55:00-05:00,331.75,330.4,14,18.90000000000032,3.9703967799999997,14.929603220000317,361,2.3261239789042807,1.8222463573243726,eod_win
RIVN,short,2026-01-16 09:36:00-05:00,2026-01-16 15:55:00-05:00,17.09,16.69,282,112.7999999999996,11.638445688000001,101.16155431199961,380,0.6122140111126008,3.5326086956521614,eod_win
QCOM,short,2026-01-16 10:40:00-05:00,2026-01-16 15:55:00-05:00,160.34,159.24,29,31.899999999999835,3.974401396,27.925598603999834,316,2.1304891776867705,2.1233944613556957,eod_win
