sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
BAC,short,2026-01-14 09:45:00-05:00,2026-01-14 09:45:00-05:00,52.4,52.51373076923077,94,-10.690692307692387,4.250124838169231,-14.940817145861619,1,3.1091043285500075,-1.000000000000007,stop_loss
WFC,short,2026-01-14 10:00:00-05:00,2026-01-14 10:08:00-05:00,88.76,88.97162,56,-11.850719999999797,4.276472874016,-16.127192874015797,9,3.6168823238741696,-0.9999999999999823,stop_loss
AFRM,short,2026-01-14 09:39:00-05:00,2026-01-14 15:55:00-05:00,73.5,72.69,67,54.27000000000015,4.212429494,50.05757050600015,377,4.069414215326274,2.188247469384285,eod_win
GS,long,2026-01-15 09:37:00-05:00,2026-01-15 09:37:00-05:00,948.52,941.56,5,-34.80000000000018,4.04454112,-38.84454112000018,1,2.6500619759387534,-2.9521393221825605,stop_loss
OXY,short,2026-01-15 09:35:00-05:00,2026-01-15 09:39:00-05:00,43.1,43.24118461538462,115,-16.236230769230957,4.9142127672153855,-21.150443536446343,5,2.191272844236901,-1.000000000000011,stop_loss
RIOT,short,2026-01-15 09:58:00-05:00,2026-01-15 10:00:00-05:00,16.59,16.681493846153845,299,-27.3566599999998,12.335827311148002,-39.6924873111478,3,2.1606215952422163,-0.9999999999999925,stop_loss
AMD,long,2026-01-15 09:48:00-05:00,2026-01-15 14:16:00-05:00,235.45,234.53009999999998,21,-19.317900000000265,4.229179222380001,-23.547079222380265,269,2.2328321777591773,-1.000000000000014,stop_loss
RIOT,long,2026-01-16 09:35:00-05:00,2026-01-16 09:35:00-05:00,18.04,17.931466923076922,275,-29.84659615384624,11.366301864626923,-41.21289801847317,1,4.016957287339794,-1.0000000000000029,stop_loss
MRNA,short,2026-01-16 09:35:00-05:00,2026-01-16 09:35:00-05:00,40.55,40.795059230769226,122,-29.897226153845935,5.196393902887078,-35.093620056733016,1,2.2334849660325102,-0.9999999999999928,stop_loss
C,long,2026-01-16 09:35:00-05:00,2026-01-16 09:37:00-05:00,119.17,118.84788461538461,41,-13.206730769230859,4.188398092576923,-17.395128861807784,3,2.042153738803383,-1.0000000000000073,stop_loss
MU,long,2026-01-16 09:37:00-05:00,2026-01-16 09:37:00-05:00,363.56,361.01,13,-33.15000000000015,4.033939598,-37.183939598000144,1,2.401632747983724,-1.472908481064801,stop_loss
BAC,short,2026-01-16 09:37:00-05:00,2026-01-16 09:41:00-05:00,52.44,52.557167692307694,94,-11.01376307692341,4.253480103844309,-15.26724318076772,5,2.2622867140326655,-1.0000000000000298,stop_loss
