sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
RIVN,short,2026-01-14 09:38:00-05:00,2026-01-14 09:38:00-05:00,17.67,17.784269230769233,281,-32.10965384615404,11.610253660376923,-43.71990750653096,1,3.34255211324431,-1.000000000000006,stop_loss
MSTR,long,2026-01-14 09:37:00-05:00,2026-01-14 09:40:00-05:00,182.12,181.06426153846155,27,-28.504938461538245,4.203960131326154,-32.7088985928644,4,2.1274803539197333,-0.9999999999999929,stop_loss
BAC,short,2026-01-14 09:45:00-05:00,2026-01-14 09:45:00-05:00,52.4,52.51373076923077,94,-10.690692307692387,4.250124838169231,-14.940817145861619,1,3.1091043285500075,-1.000000000000007,stop_loss
WFC,short,2026-01-14 10:00:00-05:00,2026-01-14 10:08:00-05:00,88.76,88.97162,55,-11.6390999999998,4.20010728698,-15.8392072869798,9,3.6168823238741696,-0.9999999999999823,stop_loss
AFRM,short,2026-01-14 09:39:00-05:00,2026-01-14 15:55:00-05:00,73.5,72.69,67,54.27000000000015,4.212429494,50.05757050600015,377,4.069414215326274,2.188247469384285,eod_win
C,long,2026-01-15 09:35:00-05:00,2026-01-15 09:35:00-05:00,115.59,114.93,43,-28.379999999999853,4.254783608,-32.63478360799985,1,1.5109500346241356,-2.0372788792591625,stop_loss
GS,long,2026-01-15 09:37:00-05:00,2026-01-15 09:37:00-05:00,948.52,941.56,5,-34.80000000000018,4.04454112,-38.84454112000018,1,2.6500619759387534,-2.9521393221825605,stop_loss
OXY,short,2026-01-15 09:35:00-05:00,2026-01-15 09:39:00-05:00,43.1,43.24118461538462,115,-16.236230769230957,4.9142127672153855,-21.150443536446343,5,2.191272844236901,-1.000000000000011,stop_loss
INTC,long,2026-01-15 09:38:00-05:00,2026-01-15 09:41:00-05:00,50.13,49.88125769230769,99,-24.625488461538765,4.273266983420768,-28.898755444959534,4,1.5462205910931828,-1.0000000000000122,stop_loss
MARA,short,2026-01-15 09:42:00-05:00,2026-01-15 09:42:00-05:00,10.88,10.94149230769231,456,-28.04049230769263,18.668018693686157,-46.70851100137878,1,1.7044140051995058,-1.0000000000000118,stop_loss
RIOT,short,2026-01-15 09:58:00-05:00,2026-01-15 10:00:00-05:00,16.59,16.681493846153845,299,-27.3566599999998,12.335827311148002,-39.6924873111478,3,2.1606215952422163,-0.9999999999999925,stop_loss
NVDA,long,2026-01-15 09:40:00-05:00,2026-01-15 10:46:00-05:00,187.48,186.9898946153846,26,-12.74274000000014,4.173785743828001,-16.91652574382814,67,1.5887196702827389,-1.0000000000000107,stop_loss
AMD,long,2026-01-15 09:48:00-05:00,2026-01-15 14:16:00-05:00,235.45,234.53009999999998,21,-19.317900000000265,4.229179222380001,-23.547079222380265,269,2.2328321777591773,-1.000000000000014,stop_loss
RIOT,long,2026-01-16 09:35:00-05:00,2026-01-16 09:35:00-05:00,18.04,17.931466923076922,274,-29.73806307692316,11.324969857846462,-41.06303293476962,1,4.016957287339794,-1.0000000000000029,stop_loss
MRNA,short,2026-01-16 09:35:00-05:00,2026-01-16 09:35:00-05:00,40.55,40.795059230769226,122,-29.897226153845935,5.196393902887078,-35.093620056733016,1,2.2334849660325102,-0.9999999999999928,stop_loss
C,long,2026-01-16 09:35:00-05:00,2026-01-16 09:37:00-05:00,119.17,118.84788461538461,41,-13.206730769230859,4.188398092576923,-17.395128861807784,3,2.042153738803383,-1.0000000000000073,stop_loss
MU,long,2026-01-16 09:37:00-05:00,2026-01-16 09:37:00-05:00,363.56,361.01,13,-33.15000000000015,4.033939598,-37.183939598000144,1,2.401632747983724,-1.472908481064801,stop_loss
BAC,short,2026-01-16 09:37:00-05:00,2026-01-16 09:41:00-05:00,52.44,52.557167692307694,94,-11.01376307692341,4.253480103844309,-15.26724318076772,5,2.2622867140326655,-1.0000000000000298,stop_loss
WFC,long,2026-01-16 09:41:00-05:00,2026-01-16 09:41:00-05:00,89.665,89.44429384615385,55,-12.138838461538342,4.232522574906154,-16.371361036444497,1,2.792536476269684,-0.9999999999999895,stop_loss
MSFT,long,2026-01-16 09:38:00-05:00,2026-01-16 09:44:00-05:00,459.38,458.52495230769233,10,-8.550476923076644,3.930117385972308,-12.480594309048952,7,3.8343858398151496,-0.9999999999999671,stop_loss
GM,short,2026-01-16 09:40:00-05:00,2026-01-16 09:45:00-05:00,80.7,80.90542307692309,61,-12.530807692308045,4.237474799530769,-16.768282491838814,6,2.2421864209676334,-1.0000000000000286,stop_loss
NFLX,short,2026-01-16 09:45:00-05:00,2026-01-16 09:46:00-05:00,87.83,88.01983538461538,56,-10.630781538461179,4.2313913363421545,-14.862172874803333,2,1.5788546496331468,-0.9999999999999655,stop_loss
XOM,long,2026-01-16 09:42:00-05:00,2026-01-16 09:47:00-05:00,129.48,129.1917976923077,38,-10.951687692307473,4.217688212005231,-15.169375904312705,6,2.8542063574783194,-0.9999999999999801,stop_loss
NVDA,long,2026-01-16 09:35:00-05:00,2026-01-16 09:59:00-05:00,189.67,189.1818946153846,26,-12.690739999999892,4.222525853428001,-16.913265853427895,25,2.1829835613723794,-0.9999999999999913,stop_loss
PYPL,short,2026-01-16 09:40:00-05:00,2026-01-16 10:06:00-05:00,56.435,56.55682,87,-10.598339999999965,4.234281351851999,-14.832621351851964,27,1.814304169284597,-0.9999999999999972,stop_loss
JPM,long,2026-01-16 10:05:00-05:00,2026-01-16 10:13:00-05:00,312.62,311.92713076923076,15,-10.393038461538708,4.012698938146154,-14.405737399684863,9,3.1328680501161745,-1.0000000000000244,stop_loss
CRM,short,2026-01-16 09:35:00-05:00,2026-01-16 10:27:00-05:00,228.88,229.61582923076924,21,-15.452413846154059,4.1260068306433855,-19.578420676797442,53,3.5875557452995106,-1.0000000000000135,stop_loss
ABBV,long,2026-01-16 11:09:00-05:00,2026-01-16 11:10:00-05:00,216.16,215.53641692307693,22,-13.718827692307514,4.070257997513231,-17.789085689820745,2,4.957173188165217,-0.9999999999999872,stop_loss
HOOD,short,2026-01-16 09:50:00-05:00,2026-01-16 11:42:00-05:00,108.57,109.08014769230769,45,-22.95664615384638,4.204922993224615,-27.161569147070995,113,2.3373727974042455,-1.0000000000000093,stop_loss
COST,short,2026-01-16 09:35:00-05:00,2026-01-16 15:09:00-05:00,955.93,957.7237923076923,5,-8.968961538461713,4.0949654617461535,-13.063927000207865,335,2.000097722814124,-1.0000000000000187,stop_loss
WMT,long,2026-01-16 15:50:00-05:00,2026-01-16 15:50:00-05:00,119.07,118.28,41,-32.389999999999674,4.17668353,-36.56668352999967,1,2.28617654085193,-3.163474955566542,stop_loss
AMZN,short,2026-01-16 09:35:00-05:00,2026-01-16 15:54:00-05:00,238.58,239.1569076923077,20,-11.538153846153705,4.0941569822153845,-15.63231082836909,380,2.6796618774820002,-0.9999999999999875,stop_loss
META,short,2026-01-16 15:50:00-05:00,2026-01-16 15:55:00-05:00,621.24,620.655,7,4.095000000000255,3.7213027670000005,0.37369723300025437,6,2.604216310490859,0.42438900260495477,eod_win
GOOG,short,2026-01-16 09:55:00-05:00,2026-01-16 15:55:00-05:00,331.75,330.4,14,18.90000000000032,3.9703967799999997,14.929603220000317,361,2.3261239789042807,1.8222463573243726,eod_win
QCOM,short,2026-01-16 10:40:00-05:00,2026-01-16 15:55:00-05:00,160.34,159.24,30,32.99999999999983,4.11144972,28.88855027999983,316,2.1304891776867705,2.1233944613556957,eod_win
ADBE,short,2026-01-16 09:35:00-05:00,2026-01-16 15:55:00-05:00,300.89,296.19,16,75.19999999999982,4.092205184,71.10779481599982,381,2.2792417420648925,5.01381465954064,eod_win
HOOD,long,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,105.9,105.38344000000001,46,-23.761759999999924,4.173076559072001,-27.934836559071925,1,1.5281096979889353,-0.9999999999999966,stop_loss
NFLX,long,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,89.525,89.31924153846154,55,-11.316715384615605,4.226286159158461,-15.543001543774066,1,1.8336740871672232,-1.0000000000000184,stop_loss
DIS,short,2026-01-20 09:35:00-05:00,2026-01-20 09:35:00-05:00,108.88,109.11167615384615,45,-10.425426923076841,4.211497757637693,-14.636924680714532,1,1.8781935042052174,-0.9999999999999928,stop_loss
MU,long,2026-01-20 09:36:00-05:00,2026-01-20 09:36:00-05:00,374.02,372.18573230769226,13,-23.84548000000035,4.154264559655999,-27.99974455965635,1,1.5287168612499415,-1.0000000000000142,stop_loss
SMCI,short,2026-01-20 09:35:00-05:00,2026-01-20 09:38:00-05:00,30.45,30.612345384615384,162,-26.29995230769238,6.808784378674154,-33.108736686366534,4,2.4820615356463196,-1.000000000000003,stop_loss
PYPL,long,2026-01-20 09:35:00-05:00,2026-01-20 09:38:00-05:00,55.96,55.827756923076926,88,-11.637390769230592,4.237622612228924,-15.875013381459516,4,2.2940107956780875,-0.9999999999999856,stop_loss
SHOP,long,2026-01-20 09:35:00-05:00,2026-01-20 09:40:00-05:00,151.14,150.4164823076923,32,-23.152566153846237,4.138811620199384,-27.29137777404562,6,1.7482831203947058,-1.0000000000000038,stop_loss
RIOT,long,2026-01-20 09:37:00-05:00,2026-01-20 09:42:00-05:00,18.3,18.18639,269,-30.561090000000355,11.122160521698,-41.683250521698355,6,2.711080194743972,-1.0000000000000118,stop_loss
RIVN,short,2026-01-20 09:40:00-05:00,2026-01-20 09:42:00-05:00,15.89,15.998692307692309,310,-33.694615384615645,12.777736750307692,-46.472352134923334,3,1.8670483727908147,-1.0000000000000075,stop_loss
WMT,long,2026-01-20 09:43:00-05:00,2026-01-20 09:46:00-05:00,121.4,121.1260053846154,40,-10.959784615384365,4.163385004141539,-15.123169619525903,4,2.000753570483692,-0.9999999999999765,stop_loss
MARA,short,2026-01-20 09:49:00-05:00,2026-01-20 09:50:00-05:00,10.35,10.421338461538461,476,-33.95710769230771,19.472894967593845,-53.430002659901554,2,2.117708882441204,-1.0000000000000009,stop_loss
